image_idx,row_upper_left,column_upper_left,row_centre,column_centre,x_coordinate,y_coordinate,geometry
1,0,0,75,75,358046.3384976996,4729971.646813435,POINT (358046.3384976996 4729971.646813435)
2,0,150,75,225,358196.3384976996,4729971.646813435,POINT (358196.3384976996 4729971.646813435)
3,0,300,75,375,358346.3384976996,4729971.646813435,POINT (358346.3384976996 4729971.646813435)
4,0,450,75,525,358496.3384976996,4729971.646813435,POINT (358496.3384976996 4729971.646813435)
5,0,600,75,675,358646.3384976996,4729971.646813435,POINT (358646.3384976996 4729971.646813435)
6,0,750,75,825,358796.3384976996,4729971.646813435,POINT (358796.3384976996 4729971.646813435)
7,0,900,75,975,358946.3384976996,4729971.646813435,POINT (358946.3384976996 4729971.646813435)
8,0,1050,75,1125,359096.3384976996,4729971.646813435,POINT (359096.3384976996 4729971.646813435)
9,0,1200,75,1275,359246.3384976996,4729971.646813435,POINT (359246.3384976996 4729971.646813435)
10,0,1350,75,1425,359396.3384976996,4729971.646813435,POINT (359396.3384976996 4729971.646813435)
11,0,1500,75,1575,359546.3384976996,4729971.646813435,POINT (359546.3384976996 4729971.646813435)
12,0,1650,75,1725,359696.3384976996,4729971.646813435,POINT (359696.3384976996 4729971.646813435)
13,0,1800,75,1875,359846.3384976996,4729971.646813435,POINT (359846.3384976996 4729971.646813435)
14,0,1950,75,2025,359996.3384976996,4729971.646813435,POINT (359996.3384976996 4729971.646813435)
15,0,2100,75,2175,360146.3384976996,4729971.646813435,POINT (360146.3384976996 4729971.646813435)
16,0,2250,75,2325,360296.3384976996,4729971.646813435,POINT (360296.3384976996 4729971.646813435)
17,0,2400,75,2475,360446.3384976996,4729971.646813435,POINT (360446.3384976996 4729971.646813435)
18,0,2550,75,2625,360596.3384976996,4729971.646813435,POINT (360596.3384976996 4729971.646813435)
19,0,2700,75,2775,360746.3384976996,4729971.646813435,POINT (360746.3384976996 4729971.646813435)
20,0,2850,75,2925,360896.3384976996,4729971.646813435,POINT (360896.3384976996 4729971.646813435)
21,0,3000,75,3075,361046.3384976996,4729971.646813435,POINT (361046.3384976996 4729971.646813435)
22,0,3150,75,3225,361196.3384976996,4729971.646813435,POINT (361196.3384976996 4729971.646813435)
23,0,3300,75,3375,361346.3384976996,4729971.646813435,POINT (361346.3384976996 4729971.646813435)
24,0,3450,75,3525,361496.3384976996,4729971.646813435,POINT (361496.3384976996 4729971.646813435)
25,0,3600,75,3675,361646.3384976996,4729971.646813435,POINT (361646.3384976996 4729971.646813435)
26,0,3750,75,3825,361796.3384976996,4729971.646813435,POINT (361796.3384976996 4729971.646813435)
27,0,3900,75,3975,361946.3384976996,4729971.646813435,POINT (361946.3384976996 4729971.646813435)
28,0,4050,75,4125,362096.3384976996,4729971.646813435,POINT (362096.3384976996 4729971.646813435)
29,0,4200,75,4275,362246.3384976996,4729971.646813435,POINT (362246.3384976996 4729971.646813435)
30,0,4350,75,4425,362396.3384976996,4729971.646813435,POINT (362396.3384976996 4729971.646813435)
31,0,4500,75,4575,362546.3384976996,4729971.646813435,POINT (362546.3384976996 4729971.646813435)
32,0,4650,75,4725,362696.3384976996,4729971.646813435,POINT (362696.3384976996 4729971.646813435)
33,0,4800,75,4875,362846.3384976996,4729971.646813435,POINT (362846.3384976996 4729971.646813435)
34,0,4950,75,5025,362996.3384976996,4729971.646813435,POINT (362996.3384976996 4729971.646813435)
35,0,5100,75,5175,363146.3384976996,4729971.646813435,POINT (363146.3384976996 4729971.646813435)
36,0,5250,75,5325,363296.3384976996,4729971.646813435,POINT (363296.3384976996 4729971.646813435)
37,0,5400,75,5475,363446.3384976996,4729971.646813435,POINT (363446.3384976996 4729971.646813435)
38,0,5550,75,5625,363596.3384976996,4729971.646813435,POINT (363596.3384976996 4729971.646813435)
39,0,5700,75,5775,363746.3384976996,4729971.646813435,POINT (363746.3384976996 4729971.646813435)
40,0,5850,75,5925,363896.3384976996,4729971.646813435,POINT (363896.3384976996 4729971.646813435)
